date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,has_shootout,shootout_winner,goalscorers_rows,penalty_goals_count,own_goals_count,fixture_id,league_id,season,source
2022-12-10,Morocco,Portugal,1.0,0.0,World Cup,,,,False,,0,0,0,978088,1,2022,api_football
2022-12-10,England,France,1.0,2.0,World Cup,,,,False,,0,0,0,978036,1,2022,api_football
2022-12-13,Argentina,Croatia,3.0,0.0,World Cup,,,,False,,0,0,0,978279,1,2022,api_football
2022-12-14,France,Morocco,2.0,0.0,World Cup,,,,False,,0,0,0,978488,1,2022,api_football
2022-12-17,Croatia,Morocco,2.0,1.0,World Cup,,,,False,,0,0,0,979138,1,2022,api_football
2022-12-18,Argentina,France,3.0,3.0,World Cup,,,,False,,0,0,0,979139,1,2022,api_football
2022-01-01,Mauritania,Uganda,,,Friendlies,,,,False,,0,0,0,821435,10,2022,api_football
2022-01-01,Algeria,Gambia,,,Friendlies,,,,False,,0,0,0,821408,10,2022,api_football
2022-01-03,Rwanda,Senegal,,,Friendlies,,,,False,,0,0,0,821409,10,2022,api_football
2022-01-03,DR Congo,Burkina Faso,,,Friendlies,,,,False,,0,0,0,821438,10,2022,api_football
2022-01-04,Malawi,Mali,,,Friendlies,,,,False,,0,0,0,821439,10,2022,api_football
2022-01-05,Gambia,Syria,,,Friendlies,,,,False,,0,0,0,821441,10,2022,api_football
2022-01-06,Rwanda,Senegal,,,Friendlies,,,,False,,0,0,0,821411,10,2022,api_football
2022-01-09,Sweden,Finland,,,Friendlies,,,,False,,0,0,0,821412,10,2022,api_football
2022-01-12,Sweden,Finland,,,Friendlies,,,,False,,0,0,0,821413,10,2022,api_football
2022-01-23,Guatemala,Canada,,,Friendlies,,,,False,,0,0,0,821420,10,2022,api_football
2022-01-24,Indonesia,Bangladesh,,,Friendlies,,,,False,,0,0,0,824911,10,2022,api_football
2022-01-27,Nicaragua,Dominican Republic,,,Friendlies,,,,False,,0,0,0,824915,10,2022,api_football
2022-01-27,Indonesia,Bangladesh,,,Friendlies,,,,False,,0,0,0,824912,10,2022,api_football
2022-01-29,Nicaragua,Belize,,,Friendlies,,,,False,,0,0,0,847820,10,2022,api_football
2022-01-30,Belize,Guatemala,,,Friendlies,,,,False,,0,0,0,825180,10,2022,api_football
2022-01-30,Guyana,Barbados,,,Friendlies,,,,False,,0,0,0,828061,10,2022,api_football
2022-02-02,Nicaragua,Belize,,,Friendlies,,,,False,,0,0,0,824916,10,2022,api_football
2022-02-02,New Zealand,Uzbekistan,,,Friendlies,,,,False,,0,0,0,821433,10,2022,api_football
2022-03-24,Madagascar,Afghanistan,,,Friendlies,,,,False,,0,0,0,848768,10,2022,api_football
2022-03-26,Tanzania,Botswana,,,Friendlies,,,,False,,0,0,0,851848,10,2022,api_football
2022-03-29,Slovenia,Belgium,,,Friendlies,,,,False,,0,0,0,821426,10,2022,api_football
2022-03-29,Zambia,Guinea,,,Friendlies,,,,False,,0,0,0,849852,10,2022,api_football
2022-05-01,El Salvador,Panama,,,Friendlies,,,,False,,0,0,0,857607,10,2022,api_football
2022-05-24,Thailand,Bahrain,,,Friendlies,,,,False,,0,0,0,861479,10,2022,api_football
2022-05-25,Nepal,Afghanistan,,,Friendlies,,,,False,,0,0,0,858425,10,2022,api_football
2022-05-25,India,Zambia,,,Friendlies,,,,False,,0,0,0,861480,10,2022,api_football
2022-05-27,Malaysia,Myanmar,,,Friendlies,,,,False,,0,0,0,857610,10,2022,api_football
2022-05-29,Nepal,Afghanistan,,,Friendlies,,,,False,,0,0,0,858426,10,2022,api_football
2022-06-05,Canada,Panama,,,Friendlies,,,,False,,0,0,0,864292,10,2022,api_football
2022-06-05,Canada,Iran,,,Friendlies,,,,False,,0,0,0,861762,10,2022,api_football
2022-06-11,Brazil,Argentina,,,Friendlies,,,,False,,0,0,0,858938,10,2022,api_football
2022-06-11,Uruguay,Jamaica,,,Friendlies,,,,False,,0,0,0,860358,10,2022,api_football
2022-09-02,Papua New Guinea,Singapore,,,Friendlies,,,,False,,0,0,0,942685,10,2022,api_football
2022-09-05,Papua New Guinea,Singapore,,,Friendlies,,,,False,,0,0,0,942686,10,2022,api_football
2022-09-20,Qatar,Bolivia,,,Friendlies,,,,False,,0,0,0,961012,10,2022,api_football
2022-09-21,Libya,Zambia,,,Friendlies,,,,False,,0,0,0,948278,10,2022,api_football
2022-09-22,Puerto Rico,Dominican Republic,,,Friendlies,,,,False,,0,0,0,945816,10,2022,api_football
2022-09-24,Honduras,El Salvador,,,Friendlies,,,,False,,0,0,0,942147,10,2022,api_football
2022-09-26,Mali,Zambia,,,Friendlies,,,,False,,0,0,0,961015,10,2022,api_football
2022-09-27,Libya,Mali,,,Friendlies,,,,False,,0,0,0,946607,10,2022,api_football
2022-11-15,Iraq,Belgium,,,Friendlies,,,,False,,0,0,0,945815,10,2022,api_football
2022-11-17,Gambia,DR Congo,,,Friendlies,,,,False,,0,0,0,971839,10,2022,api_football
2022-11-17,Iraq,Costa Rica,,,Friendlies,,,,False,,0,0,0,965471,10,2022,api_football
2022-11-19,Russia,Bosnia & Herzegovina,,,Friendlies,,,,False,,0,0,0,960220,10,2022,api_football
2022-11-20,Gambia,Tanzania,,,Friendlies,,,,False,,0,0,0,973267,10,2022,api_football
2022-11-20,Gambia,Liberia,,,Friendlies,,,,False,,0,0,0,971840,10,2022,api_football
2022-11-21,Iraq,Venezuela,,,Friendlies,,,,False,,0,0,0,970022,10,2022,api_football
2022-01-02,Gabon,Burkina Faso,0.0,3.0,Friendlies,,,,False,,0,0,0,822699,10,2022,api_football
2022-01-02,Zimbabwe,Sudan,0.0,0.0,Friendlies,,,,False,,0,0,0,821436,10,2022,api_football
2022-01-03,Guinea,Rwanda,0.0,3.0,Friendlies,,,,False,,0,0,0,821437,10,2022,api_football
2022-01-04,Mauritania,Gabon,1.0,1.0,Friendlies,,,,False,,0,0,0,821440,10,2022,api_football
2022-01-05,Algeria,Ghana,3.0,0.0,Friendlies,,,,False,,0,0,0,821410,10,2022,api_football
2022-01-06,Rwanda,Guinea,0.0,2.0,Friendlies,,,,False,,0,0,0,821442,10,2022,api_football
2022-01-12,Iceland,Uganda,1.0,1.0,Friendlies,,,,False,,0,0,0,821414,10,2022,api_football
2022-01-15,Iceland,South Korea,1.0,5.0,Friendlies,,,,False,,0,0,0,821415,10,2022,api_football
2022-01-16,Peru,Panama,1.0,1.0,Friendlies,,,,False,,0,0,0,821417,10,2022,api_football
2022-01-16,Colombia,Honduras,2.0,1.0,Friendlies,,,,False,,0,0,0,821416,10,2022,api_football
2022-01-18,Moldova,Uganda,2.0,3.0,Friendlies,,,,False,,0,0,0,821431,10,2022,api_football
2022-01-21,Peru,Jamaica,3.0,0.0,Friendlies,,,,False,,0,0,0,821419,10,2022,api_football
2022-01-21,South Korea,Moldova,4.0,0.0,Friendlies,,,,False,,0,0,0,821418,10,2022,api_football
2022-01-21,Iraq,Uganda,1.0,0.0,Friendlies,,,,False,,0,0,0,823572,10,2022,api_football
2022-01-21,Bolivia,Trinidad and Tobago,5.0,0.0,Friendlies,,,,False,,0,0,0,825178,10,2022,api_football
2022-01-27,Indonesia,Timor-Leste,4.0,1.0,Friendlies,,,,False,,0,0,0,828035,10,2022,api_football
2022-01-27,Bahrain,Uganda,3.0,1.0,Friendlies,,,,False,,0,0,0,823573,10,2022,api_football
2022-01-28,Jordan,New Zealand,3.0,1.0,Friendlies,,,,False,,0,0,0,821432,10,2022,api_football
2022-01-28,Suriname,Barbados,1.0,0.0,Friendlies,,,,False,,0,0,0,826946,10,2022,api_football
2022-01-29,Nepal,Mauritius,1.0,0.0,Friendlies,,,,False,,0,0,0,821443,10,2022,api_football
2022-01-29,Kuwait,Libya,2.0,0.0,Friendlies,,,,False,,0,0,0,828062,10,2022,api_football
2022-01-30,Nicaragua,Belize,4.0,0.0,Friendlies,,,,False,,0,0,0,826947,10,2022,api_football
2022-01-30,Indonesia,Timor-Leste,3.0,0.0,Friendlies,,,,False,,0,0,0,828036,10,2022,api_football
