position,team,points
151,Guyana (GUY),"1,041.90"
152,Solomon Islands (SOL),"1,039.86"
153,"Hong Kong, China (HKG)","1,038.14"
154,St Kitts and Nevis (SKN),"1,035.25"
155,Fiji (FIJ),"1,029.70"
156,Puerto Rico (PUR),"1,020.07"
157,Tahiti (TAH),"1,019.04"
158,Moldova (MDA),"1,012.64"
159,Eswatini (SWZ),"1,010.52"
160,Vanuatu (VAN),997.01
161,Malta (MLT),996.59
162,Afghanistan (AFG),991.19
163,Myanmar (MYA),990.81
164,Grenada (GRN),989.59
165,Antigua and Barbuda (ATG),986.58
166,Cuba (CUB),980.49
167,St Lucia (LCA),980.28
168,South Sudan (SSD),977.50
169,Bermuda (BER),976.87
170,Papua New Guinea (PNG),974.90
171,St Vincent and the Grenadines (VIN),963.74
172,Andorra (AND),949.44
173,Maldives (MDV),945.02
174,Chinese Taipei (TPE),938.21
175,Montserrat (MSR),916.75
176,Mauritius (MRI),915.51
177,Chad (CHA),914.65
178,Barbados (BRB),914.42
179,Cambodia (CAM),911.54
180,Bangladesh (BAN),911.10
181,Belize (BLZ),910.74
182,Nepal (NEP),902.52
183,Dominica (DMA),901.37
184,American Samoa (ASA),883.17
185,Mongolia (MNG),879.75
186,Cook Islands (COK),877.53
187,Samoa (SAM),876.41
188,Brunei Darussalam (BRU),875.78
189,São Tomé and Príncipe (STP),871.63
190,Laos (LAO),871.16
191,Aruba (ARU),867.94
192,Bhutan (BHU),867.86
193,Macau (MAC),865.29
194,Sri Lanka (SRI),857.40
195,Cayman Islands (CAY),851.74
196,Djibouti (DJI),847.03
197,Tonga (TGA),835.64
198,Timor-Leste (TLS),835.55
199,Pakistan (PAK),833.16
200,Somalia (SOM),828.90
