fixture_id,date,home_team,away_team,home_score,away_score,tournament,league_id,season,source
847820,2022-01-29,Nicaragua,Belize,,,Friendlies,10,2022,api_football
825180,2022-01-30,Belize,Guatemala,,,Friendlies,10,2022,api_football
828061,2022-01-30,Guyana,Barbados,,,Friendlies,10,2022,api_football
824916,2022-02-02,Nicaragua,Belize,,,Friendlies,10,2022,api_football
821433,2022-02-02,New Zealand,Uzbekistan,,,Friendlies,10,2022,api_football
848768,2022-03-24,Madagascar,Afghanistan,,,Friendlies,10,2022,api_football
851848,2022-03-26,Tanzania,Botswana,,,Friendlies,10,2022,api_football
821426,2022-03-29,Slovenia,Belgium,,,Friendlies,10,2022,api_football
849852,2022-03-29,Zambia,Guinea,,,Friendlies,10,2022,api_football
857607,2022-05-01,El Salvador,Panama,,,Friendlies,10,2022,api_football
861479,2022-05-24,Thailand,Bahrain,,,Friendlies,10,2022,api_football
858425,2022-05-25,Nepal,Afghanistan,,,Friendlies,10,2022,api_football
861480,2022-05-25,India,Zambia,,,Friendlies,10,2022,api_football
857610,2022-05-27,Malaysia,Myanmar,,,Friendlies,10,2022,api_football
858426,2022-05-29,Nepal,Afghanistan,,,Friendlies,10,2022,api_football
864292,2022-06-05,Canada,Panama,,,Friendlies,10,2022,api_football
861762,2022-06-05,Canada,Iran,,,Friendlies,10,2022,api_football
858938,2022-06-11,Brazil,Argentina,,,Friendlies,10,2022,api_football
860358,2022-06-11,Uruguay,Jamaica,,,Friendlies,10,2022,api_football
942685,2022-09-02,Papua New Guinea,Singapore,,,Friendlies,10,2022,api_football
942686,2022-09-05,Papua New Guinea,Singapore,,,Friendlies,10,2022,api_football
961012,2022-09-20,Qatar,Bolivia,,,Friendlies,10,2022,api_football
948278,2022-09-21,Libya,Zambia,,,Friendlies,10,2022,api_football
945816,2022-09-22,Puerto Rico,Dominican Republic,,,Friendlies,10,2022,api_football
942147,2022-09-24,Honduras,El Salvador,,,Friendlies,10,2022,api_football
961015,2022-09-26,Mali,Zambia,,,Friendlies,10,2022,api_football
946607,2022-09-27,Libya,Mali,,,Friendlies,10,2022,api_football
945815,2022-11-15,Iraq,Belgium,,,Friendlies,10,2022,api_football
971839,2022-11-17,Gambia,Congo DR,,,Friendlies,10,2022,api_football
965471,2022-11-17,Iraq,Costa Rica,,,Friendlies,10,2022,api_football
960220,2022-11-19,Russia,Bosnia & Herzegovina,,,Friendlies,10,2022,api_football
973267,2022-11-20,Gambia,Tanzania,,,Friendlies,10,2022,api_football
971840,2022-11-20,Gambia,Liberia,,,Friendlies,10,2022,api_football
970022,2022-11-21,Iraq,Venezuela,,,Friendlies,10,2022,api_football
822699,2022-01-02,Gabon,Burkina Faso,0.0,3.0,Friendlies,10,2022,api_football
821436,2022-01-02,Zimbabwe,Sudan,0.0,0.0,Friendlies,10,2022,api_football
