position,team,points
51,Costa Rica (CRC),"1,464.24"
52,Uzbekistan (UZB),"1,462.03"
53,Peru (PER),"1,461.46"
54,Mali (MLI),"1,458.48"
55,Chile (CHI),"1,457.84"
56,Qatar (QAT),"1,454.96"
57,Slovenia (SVN),"1,447.31"
58,Iraq (IRQ),"1,436.94"
59,Republic of Ireland (IRL),"1,436.04"
60,South Africa (RSA),"1,432.76"
61,Saudi Arabia (KSA),"1,429.48"
62,Burkina Faso (BFA),"1,412.79"
63,Albania (ALB),"1,401.07"
64,Jordan (JOR),"1,388.93"
65,Honduras (HON),"1,379.54"
66,North Macedonia (MKD),"1,378.57"
67,Cabo Verde (CPV),"1,370.49"
68,United Arab Emirates (UAE),"1,370.47"
69,Northern Ireland (NIR),"1,366.02"
70,Jamaica (JAM),"1,362.46"
71,Bosnia and Herzegovina (BIH),"1,362.37"
72,Ghana (GHA),"1,351.09"
73,Georgia (GEO),"1,347.88"
74,Iceland (ISL),"1,344.72"
75,Finland (FIN),"1,341.81"
76,Israel (ISR),"1,328.14"
77,Bolivia (BOL),"1,327.67"
78,Oman (OMA),"1,313.46"
79,Kosovo (KOS),"1,308.84"
80,Guinea (GUI),"1,307.05"
81,Curaçao (CUW),"1,302.70"
82,Montenegro (MNE),"1,297.09"
83,Haiti (HAI),"1,294.49"
84,Syria (SYR),"1,282.62"
85,New Zealand (NZL),"1,279.25"
86,Gabon (GAB),"1,276.28"
87,Bulgaria (BUL),"1,272.19"
88,Uganda (UGA),"1,264.08"
89,Angola (ANG),"1,263.09"
90,Bahrain (BHR),"1,258.53"
91,Zambia (ZAM),"1,256.69"
92,Benin (BEN),"1,250.06"
93,China PR (CHN),"1,249.06"
94,Guatemala (GUA),"1,245.77"
95,Palestine (PLE),"1,244.73"
96,Thailand (THA),"1,243.27"
97,Trinidad and Tobago (TRI),"1,227.32"
98,Belarus (BLR),"1,227.09"
99,El Salvador (SLV),"1,226.65"
100,Tajikistan (TJK),"1,224.93"
