scenario,label,model,n,accuracy,f1_macro,f1_weighted,auc_macro,auc_weighted,fold_acc_std,ks_0,ks_1,ks_2
D_10_anios,Últimos 10 años,HistGradientBoosting,11853,0.5566582278481013,0.49855098133606307,0.5430848544290383,0.7100054996196857,0.7240149625889117,0.049280781420357536,0.39979783177772904,0.14436503808368584,0.3541339246083283
C_20_anios,Últimos 20 años,HistGradientBoosting,21240,0.5784180790960451,0.48233280169433773,0.5402579590417489,0.7154698889151557,0.7299235853941742,0.032547767129821575,0.40055516298256416,0.16043133410122412,0.37952490680422174
B_30_anios,Últimos 30 años,HistGradientBoosting,29999,0.5865973194638928,0.4787871881574913,0.5390819724989973,0.7175630580364145,0.7310905195453032,0.02115610111392251,0.39735507717800006,0.17223761869366816,0.3743031875959581
A_full,Histórico completo,HistGradientBoosting,49971,0.5585014409221902,0.45752613949702176,0.5164748126437549,0.6888529118298945,0.7015383853216601,0.04116681326246143,0.3518293119633638,0.12907615120175697,0.3266784579577361
